Name,URL,SKU,Description,Category,Brand,Rating Value,Review Count,Price,Price Currency,Availability,Material,Review,Rate,Reviewer,Review Date
Izmir Afghan special galania poppy seeds (open pollenated) f1 and f2s.,https://www.etsy.com/listing/1459799442/izmir-afghan-special-galania-poppy-seeds,1459799442,"If you are looking for pure izmir afghan specials please see my other listings.....       These are open pollenated Afghan special galania poppy seeds from Izmir. This means they may not be pure and possibly have hybridized with other somniferum growing along side them.    Possible parents are: peshawar persian whites, gigantium, pink peonies, hens and chicks or queens.   Youll recive 600 seeds per order.      These seeds are a mix of white and tan in color. pure afgan special are always white, so the tan seeds are for sure f2 crosses.          Papavar somiferum or breadseed poppy are widely used to add nuttiness and delightful texture to many dishes",Home & Living < Outdoor & Gardening < Plants < Herbs,BOUNTYbotanicals,4.9,488,9.41,EUR,https://schema.org/InStock,Seeds/Pink Flowers/Poppys,Just what I was looking for,5,Shawn,2024-08-22
Izmir Afghan special galania poppy seeds (open pollenated) f1 and f2s.,https://www.etsy.com/listing/1459799442/izmir-afghan-special-galania-poppy-seeds,1459799442,"If you are looking for pure izmir afghan specials please see my other listings.....       These are open pollenated Afghan special galania poppy seeds from Izmir. This means they may not be pure and possibly have hybridized with other somniferum growing along side them.    Possible parents are: peshawar persian whites, gigantium, pink peonies, hens and chicks or queens.   Youll recive 600 seeds per order.      These seeds are a mix of white and tan in color. pure afgan special are always white, so the tan seeds are for sure f2 crosses.          Papavar somiferum or breadseed poppy are widely used to add nuttiness and delightful texture to many dishes",Home & Living < Outdoor & Gardening < Plants < Herbs,BOUNTYbotanicals,4.9,488,9.41,EUR,https://schema.org/InStock,Seeds/Pink Flowers/Poppys,"I did not receive my order the first time it was shipped (no fault of the seller!) and when I contacted to let the seller know, they shipped it again right away! Fast and friendly. I will very likely order more products in the future! Thank you!",5,Lindsey B Hoffman,2024-08-07
Izmir Afghan special galania poppy seeds (open pollenated) f1 and f2s.,https://www.etsy.com/listing/1459799442/izmir-afghan-special-galania-poppy-seeds,1459799442,"If you are looking for pure izmir afghan specials please see my other listings.....       These are open pollenated Afghan special galania poppy seeds from Izmir. This means they may not be pure and possibly have hybridized with other somniferum growing along side them.    Possible parents are: peshawar persian whites, gigantium, pink peonies, hens and chicks or queens.   Youll recive 600 seeds per order.      These seeds are a mix of white and tan in color. pure afgan special are always white, so the tan seeds are for sure f2 crosses.          Papavar somiferum or breadseed poppy are widely used to add nuttiness and delightful texture to many dishes",Home & Living < Outdoor & Gardening < Plants < Herbs,BOUNTYbotanicals,4.9,488,9.41,EUR,https://schema.org/InStock,Seeds/Pink Flowers/Poppys,Best on the market from any seller,5,Michael F,2024-07-29
Organic Indian Warrior (Pedicularis Densiflora) Tea Fresh Batch Harvest - Free Shipping in USA,https://www.etsy.com/listing/666547836/organic-indian-warrior-pedicularis,666547836,Indian Warrior Tea harvested this year. Ships from USA.  Because we import our herbs directly they are fresh and very high quality.,Home & Living < Outdoor & Gardening < Plants < Herbs,AwakenRelaxation,4.8,17955,,USD,https://schema.org/InStock,,everything as expected great seitan,5,BRANDY HEROLD,2024-09-07
Organic Indian Warrior (Pedicularis Densiflora) Tea Fresh Batch Harvest - Free Shipping in USA,https://www.etsy.com/listing/666547836/organic-indian-warrior-pedicularis,666547836,Indian Warrior Tea harvested this year. Ships from USA.  Because we import our herbs directly they are fresh and very high quality.,Home & Living < Outdoor & Gardening < Plants < Herbs,AwakenRelaxation,4.8,17955,,USD,https://schema.org/InStock,,I liked this product ordered twice!,5,BRANDY HEROLD,2024-09-03
Organic Indian Warrior (Pedicularis Densiflora) Tea Fresh Batch Harvest - Free Shipping in USA,https://www.etsy.com/listing/666547836/organic-indian-warrior-pedicularis,666547836,Indian Warrior Tea harvested this year. Ships from USA.  Because we import our herbs directly they are fresh and very high quality.,Home & Living < Outdoor & Gardening < Plants < Herbs,AwakenRelaxation,4.8,17955,,USD,https://schema.org/InStock,,This shop has consistently offered high quality and hard to find products. I will continue to buy from them.,5,joedoe seveneleven,2024-08-25
Organic Indian Warrior (Pedicularis Densiflora) Tea Fresh Batch Harvest - Free Shipping in USA,https://www.etsy.com/listing/666547836/organic-indian-warrior-pedicularis,666547836,Indian Warrior Tea harvested this year. Ships from USA.  Because we import our herbs directly they are fresh and very high quality.,Home & Living < Outdoor & Gardening < Plants < Herbs,AwakenRelaxation,4.8,17955,,USD,https://schema.org/InStock,,All is as it should be.,5,Marie,2024-08-17
Izmir Afghan special galania poppy seeds,https://www.etsy.com/listing/884461097/izmir-afghan-special-galania-poppy-seeds,884461097,These are the Afghan special galania poppy seeds from Izmir.    Care was taken to make sure no cross pollenation took place and will grow pure.    Youll recive 300 seeds per order.      Gorgious pink and white flowers give way to very nice barrel shaped seed pods sitting atop a 3-4 foot stalk.     The afghan specials seeds are nice and white with a nutty flavor.          Papavar somiferum or breadseed poppy are widely used to add nuttiness and delightful texture to many dishes.,Home & Living < Outdoor & Gardening < Plants < Herbs,BOUNTYbotanicals,4.9,488,10.00,USD,https://schema.org/InStock,Seeds/Pink Flowers/Poppys,"Please write five words ,",5,Sign in with Apple user,2024-09-15
Izmir Afghan special galania poppy seeds,https://www.etsy.com/listing/884461097/izmir-afghan-special-galania-poppy-seeds,884461097,These are the Afghan special galania poppy seeds from Izmir.    Care was taken to make sure no cross pollenation took place and will grow pure.    Youll recive 300 seeds per order.      Gorgious pink and white flowers give way to very nice barrel shaped seed pods sitting atop a 3-4 foot stalk.     The afghan specials seeds are nice and white with a nutty flavor.          Papavar somiferum or breadseed poppy are widely used to add nuttiness and delightful texture to many dishes.,Home & Living < Outdoor & Gardening < Plants < Herbs,BOUNTYbotanicals,4.9,488,10.00,USD,https://schema.org/InStock,Seeds/Pink Flowers/Poppys,Good product  arrived un damaged,5,John,2024-09-13
Izmir Afghan special galania poppy seeds,https://www.etsy.com/listing/884461097/izmir-afghan-special-galania-poppy-seeds,884461097,These are the Afghan special galania poppy seeds from Izmir.    Care was taken to make sure no cross pollenation took place and will grow pure.    Youll recive 300 seeds per order.      Gorgious pink and white flowers give way to very nice barrel shaped seed pods sitting atop a 3-4 foot stalk.     The afghan specials seeds are nice and white with a nutty flavor.          Papavar somiferum or breadseed poppy are widely used to add nuttiness and delightful texture to many dishes.,Home & Living < Outdoor & Gardening < Plants < Herbs,BOUNTYbotanicals,4.9,488,10.00,USD,https://schema.org/InStock,Seeds/Pink Flowers/Poppys,Everything came  on time I will probably buy more for next year.,4,Kim Tye,2024-08-31
Izmir Afghan special galania poppy seeds,https://www.etsy.com/listing/884461097/izmir-afghan-special-galania-poppy-seeds,884461097,These are the Afghan special galania poppy seeds from Izmir.    Care was taken to make sure no cross pollenation took place and will grow pure.    Youll recive 300 seeds per order.      Gorgious pink and white flowers give way to very nice barrel shaped seed pods sitting atop a 3-4 foot stalk.     The afghan specials seeds are nice and white with a nutty flavor.          Papavar somiferum or breadseed poppy are widely used to add nuttiness and delightful texture to many dishes.,Home & Living < Outdoor & Gardening < Plants < Herbs,BOUNTYbotanicals,4.9,488,10.00,USD,https://schema.org/InStock,Seeds/Pink Flowers/Poppys,Excellent customer service. Seller very responsive and helpful. Highly recommend. Will buy from again.,5,Nancy Davenport,2024-08-24
Lemon Balm Leaf Tincture Herb Extract Double Extraction,https://www.etsy.com/listing/974034995/lemon-balm-leaf-tincture-herb-extract,974034995,"- NON GMO! - Gluten Free! - Organic - Choose between alcohol free or alcohol infused - Highest Strength Lemon Balm liquid extract! - Lemon Balm liquid extract contains ONLY natural ingredients! - High Quality Lemon Balm liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! Super concentrated Lemon Balm extract: dried material / solvents ratio is 1:2!  We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water. (Alcohol infused tinctures also contains palm glycerin, if you prefer without any glycerin added please message us or write in the purchase notes &quot;do not add any glycerin&quot; **this option is only available for the alcohol-infused base only**)  All size tinctures arrive sealed for protection against tampering.  Shake well before use. Take one teaspoon, up to 3 times a day or as directed by your practitioner. The best way to use liquid herbal tinctures is to put the suggested amount in a glass of water, tea, or juice and drink the entire contents. Do not drink with any dairy products 30 minutes before and after consumption.  Tinctures can also be administered directly into the mouth without the  assistance of water however some tinctures are unpalatable which is why most people prefer to dilute them into a beverage.  Safety information: Keep out of reach of children. If you are pregnant, nursing or taking any medications, consult your doctor before use. Discontinue use and consult your practitioner if any adverse reactions occur. Excessive consumption may impair ability to drive a motor vehicle or operate heavy equipment.",Home & Living < Outdoor & Gardening < Plants < Herbs,RedCardinalStore,4.9,2018,,EUR,https://schema.org/InStock,,The packaging quality ensured a safe delivery. I will absolutely order again!!,5,J.r.,2024-08-29
Lemon Balm Leaf Tincture Herb Extract Double Extraction,https://www.etsy.com/listing/974034995/lemon-balm-leaf-tincture-herb-extract,974034995,"- NON GMO! - Gluten Free! - Organic - Choose between alcohol free or alcohol infused - Highest Strength Lemon Balm liquid extract! - Lemon Balm liquid extract contains ONLY natural ingredients! - High Quality Lemon Balm liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! Super concentrated Lemon Balm extract: dried material / solvents ratio is 1:2!  We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water. (Alcohol infused tinctures also contains palm glycerin, if you prefer without any glycerin added please message us or write in the purchase notes &quot;do not add any glycerin&quot; **this option is only available for the alcohol-infused base only**)  All size tinctures arrive sealed for protection against tampering.  Shake well before use. Take one teaspoon, up to 3 times a day or as directed by your practitioner. The best way to use liquid herbal tinctures is to put the suggested amount in a glass of water, tea, or juice and drink the entire contents. Do not drink with any dairy products 30 minutes before and after consumption.  Tinctures can also be administered directly into the mouth without the  assistance of water however some tinctures are unpalatable which is why most people prefer to dilute them into a beverage.  Safety information: Keep out of reach of children. If you are pregnant, nursing or taking any medications, consult your doctor before use. Discontinue use and consult your practitioner if any adverse reactions occur. Excessive consumption may impair ability to drive a motor vehicle or operate heavy equipment.",Home & Living < Outdoor & Gardening < Plants < Herbs,RedCardinalStore,4.9,2018,,EUR,https://schema.org/InStock,,My go to shop for herbals! Potent and effective! Fast shipping.,5,Britt,2024-07-12
Lemon Balm Leaf Tincture Herb Extract Double Extraction,https://www.etsy.com/listing/974034995/lemon-balm-leaf-tincture-herb-extract,974034995,"- NON GMO! - Gluten Free! - Organic - Choose between alcohol free or alcohol infused - Highest Strength Lemon Balm liquid extract! - Lemon Balm liquid extract contains ONLY natural ingredients! - High Quality Lemon Balm liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! Super concentrated Lemon Balm extract: dried material / solvents ratio is 1:2!  We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water. (Alcohol infused tinctures also contains palm glycerin, if you prefer without any glycerin added please message us or write in the purchase notes &quot;do not add any glycerin&quot; **this option is only available for the alcohol-infused base only**)  All size tinctures arrive sealed for protection against tampering.  Shake well before use. Take one teaspoon, up to 3 times a day or as directed by your practitioner. The best way to use liquid herbal tinctures is to put the suggested amount in a glass of water, tea, or juice and drink the entire contents. Do not drink with any dairy products 30 minutes before and after consumption.  Tinctures can also be administered directly into the mouth without the  assistance of water however some tinctures are unpalatable which is why most people prefer to dilute them into a beverage.  Safety information: Keep out of reach of children. If you are pregnant, nursing or taking any medications, consult your doctor before use. Discontinue use and consult your practitioner if any adverse reactions occur. Excessive consumption may impair ability to drive a motor vehicle or operate heavy equipment.",Home & Living < Outdoor & Gardening < Plants < Herbs,RedCardinalStore,4.9,2018,,EUR,https://schema.org/InStock,,Love this lemon balm tincture. Must have. Taste is pleasant.,5,Chris,2024-05-19
Lemon Balm Leaf Tincture Herb Extract Double Extraction,https://www.etsy.com/listing/974034995/lemon-balm-leaf-tincture-herb-extract,974034995,"- NON GMO! - Gluten Free! - Organic - Choose between alcohol free or alcohol infused - Highest Strength Lemon Balm liquid extract! - Lemon Balm liquid extract contains ONLY natural ingredients! - High Quality Lemon Balm liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! Super concentrated Lemon Balm extract: dried material / solvents ratio is 1:2!  We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water. (Alcohol infused tinctures also contains palm glycerin, if you prefer without any glycerin added please message us or write in the purchase notes &quot;do not add any glycerin&quot; **this option is only available for the alcohol-infused base only**)  All size tinctures arrive sealed for protection against tampering.  Shake well before use. Take one teaspoon, up to 3 times a day or as directed by your practitioner. The best way to use liquid herbal tinctures is to put the suggested amount in a glass of water, tea, or juice and drink the entire contents. Do not drink with any dairy products 30 minutes before and after consumption.  Tinctures can also be administered directly into the mouth without the  assistance of water however some tinctures are unpalatable which is why most people prefer to dilute them into a beverage.  Safety information: Keep out of reach of children. If you are pregnant, nursing or taking any medications, consult your doctor before use. Discontinue use and consult your practitioner if any adverse reactions occur. Excessive consumption may impair ability to drive a motor vehicle or operate heavy equipment.",Home & Living < Outdoor & Gardening < Plants < Herbs,RedCardinalStore,4.9,2018,,EUR,https://schema.org/InStock,,I’m am very pleased. This is my second purchase from this business. Fast shipping. Clean meat packaging. I’m very satisfied. 10/10.,5,Abcheline,2024-03-16
California Poppy Tincture Herb Extract Double Extraction,https://www.etsy.com/listing/978632045/california-poppy-tincture-herb-extract,978632045,"- NON GMO! - Gluten Free! - Organic - Choose between alcohol-free or alcohol infused - Highest Strength California Poppy liquid extract! - California Poppy liquid extract contains ONLY natural ingredients! - High Quality California Poppy liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! Super concentrated California Poppy extract: dried material / solvents ratio is 1:2!  We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water.  (Alcohol infused tinctures also contains palm glycerin, if you prefer without any glycerin added please message us or write in the purchase notes &quot;do not add any glycerin&quot; **this option is only available for the alcohol-infused base only**)  All size tinctures arrive sealed for protection against tampering.  Shake well before use. Take one teaspoon, up to 3 times a day or as directed by your practitioner. The best way to use liquid herbal tinctures is to put the suggested amount in a glass of water, tea, or juice and drink the entire contents. Do not drink with any dairy products 30 minutes before and after consumption. Tinctures can also be administered directly into the mouth without the assistance of water however some tinctures are unpalatable which is why most people prefer to dilute them into a beverage.  Safety information: Keep out of reach of children. If you are pregnant, nursing or taking any medications, consult your doctor before use. Discontinue use and consult your practitioner if any adverse reactions occur. Excessive consumption may impair ability to drive a motor vehicle or operate heavy equipment.",Home & Living < Outdoor & Gardening < Plants < Herbs,RedCardinalStore,4.9,2018,,USD,https://schema.org/InStock,,"i ordered the blue lotus a few weeks ago and was extremely impressed and decided to try this for daily use and i would 1000 times over recommend this company for all of my tinctures, only thing is the dropper on the 4 oz is a little bit more prone to leaking and a bit messy but idc this product is so effective for my anxiety",5,Evan,2024-07-17
