summary,pros,cons,review_date,job_title,rating_overall,rating_work_life_balance,rating_compensation_and_benefits,rating_career_opportunities,rating_culture_and_values,rating_diversity_and_inclusion,rating_senior_leadership,rating_recommend_to_friend,rating_business_outlook,overall_rating,compensation_and_benefits_rating,culture_and_values_rating,diversity_and_inclusion_rating
OSF is an okay employer,"Decent pay 
Option to work remotely",Some of their healthcare practices,2024-10-28T10:06:27.183,Contact Center Agent,3,0,0,0,0,0,0,,,3.7,3.7,3.8,3.9
OSF,Good experience as a new RN. Tuition paid for.,Benefits aren�t great. Not much room for moving up.,2024-10-23T18:13:59.563,Registered Nurse,3,0,0,0,0,0,0,,,3.7,3.7,3.8,3.9
OSF,"This company offers flexibility, which is wonderful.",A feeling of disconnection between systems and departments.,2024-10-23T15:06:54.117,Financial Analyst,3,0,0,0,0,0,0,,,3.7,3.7,3.8,3.9
OSF ,working at the hospital while going to nursing school was great for me to get experience in and only work one 12 hour shift a week to be considered part-time,the specific manager I had was not the best,2024-09-15T15:32:45.180,PCT/CNA,4,0,0,5,0,0,0,,,3.7,3.7,3.8,3.9
Good Job Security but low compensation,Good job security with great people to work with.,Non for profit so pay and benefits are at the lowest in the profession.,2024-10-09T17:32:51.643,Data Engineer,3,0,0,0,0,0,0,,,3.7,3.7,3.8,3.9
Good stepping stone role,"Team environment, lots of exposure to healthcare industry.",Lack of organization within management.,2024-10-18T11:05:09.720,Patient Financial Services,3,3,3,4,3,2,2,NEGATIVE,POSITIVE,3.7,3.7,3.8,3.9
Great place to work,Schedule is very flexible. Supervisor is accommodating. Great if you have school aged children,Driving in the winter snow,2024-10-08T23:02:50.887,RN,5,5,5,5,5,5,5,POSITIVE,,3.7,3.7,3.8,3.9
Cool Company,"Cool people to work with, and good experience.",Days can be long sometimes,2024-10-15T13:51:38.370,ER Technician,4,0,0,0,0,0,0,,,3.7,3.7,3.8,3.9
Great place to work,I enjoy the culture at OSF.,Night shift does not have the same resources that day shift has.,2024-10-08T12:26:39.270,,4,4,4,5,5,4,4,,,3.7,3.7,3.8,3.9
Front Office associate ,"Great management, Great employees, Amazing job at training and making sure you are confident to start.",They will fire an employee very quickly,2024-10-02T10:05:58.607,Front Office Associate,5,5,5,5,5,5,5,,,3.7,3.7,3.8,3.9
Lots of work but rewarding,"Job security, satisfaction, creativity, flexibility","Lots of overtime, 40plus hour work weeks",2024-11-19T05:36:01.483,Instructional Designer,3,1,3,4,3,2,3,,,3.7,3.7,3.8,3.9
Does not practice what they preach,"Everyone is kind and very helpful. When I think of the word ""team"" I think of OSF",Benefits are not great. Not a lot of growth opportunity unless you want to take on more work without any pay. Leaders do not help you reach your professional goals. You get told one thing and then the leaders go against it. You barely see your manager/direct report because they are in charge of multiple departments and in soooo many meetings.,2024-08-13T11:15:12.123,Radiation Therapist,3,4,2,3,4,4,1,NEGATIVE,NEUTRAL,3.7,3.7,3.8,3.9
Best place to work,Treats their employees as valued members of the healthcare team,pay is less than surrounding organizations,2024-11-07T06:31:06.770,Project Manager,4,4,4,5,5,5,4,POSITIVE,POSITIVE,3.7,3.7,3.8,3.9
Good atmosphere,Caring co-workers and fellow staffing,Staffing shortages in many departments,2024-11-06T16:37:36.587,Radiology Technologist,4,0,0,0,0,0,0,,,3.7,3.7,3.8,3.9
Overall A Good Place to work,Plenty of opportunities that are available.,A Lot of changes happening,2024-11-04T12:41:13.760,Front Office Assistant,4,2,3,4,4,5,4,,,3.7,3.7,3.8,3.9
Good Job,The unit I was on we were all family and acted as such.,It all depends on what you think are cons,2024-10-29T15:48:14.673,Patient Care Technician,3,0,0,0,0,0,0,,,3.7,3.7,3.8,3.9
Big Company,Great People and lots of overtime,Have to use vacation time for holidays,2024-11-04T18:23:17.220,Patient Accounts Associate,3,4,4,3,4,4,3,,,3.7,3.7,3.8,3.9
Awful place to work,You might get a pointcore umbrella as your holiday bonus,"They will steal your PTO for holidays 
They will retroactively charge you for a simple urgent care visit at one of their facilities because their employee healthcare will deny to cover the cost
Benefits in general are atrocious",2024-10-30T16:16:05.427,Application Support Analyst,1,1,2,2,1,1,2,NEGATIVE,NEUTRAL,3.7,3.7,3.8,3.9
Highschool,"Patients, area, location and large hospital organization",Staff acts like highsvhool mean girls,2024-11-29T23:26:01.700,"APRN, FNP-C",1,3,2,3,1,1,1,NEGATIVE,,3.7,3.7,3.8,3.9
Good company bad pay,"Healthcare and level 1 trauma center 
Good coworkers
guild tuition","pay is bad for as big as a company as it is. 
no work/life balance",2024-10-06T22:59:35.700,CNA/PCT,3,1,3,5,5,5,3,NEGATIVE,POSITIVE,3.7,3.7,3.8,3.9
OSF,"Their mission, values, benefits, teamwork, and resources.","Hours, pay, working holidays, and working weekends.",2025-01-03T12:01:48.037,Registered Nurse,4,0,0,0,0,0,0,,,3.7,3.7,3.8,3.9
Okay,"Good benefits, extra hours available","Long hours, flexibility not always accommodated",2025-01-04T20:14:44.893,PCT/CNA,3,0,0,0,0,0,0,,,3.7,3.7,3.8,3.9
"Resources &amp; staffing good, culture was terrible","Alaris pumps &amp; epic for charting is a preference of mine, �short staffing� was the charge nurse having a team which is better than most places
- free college while employed","Without being raised as a new graduate at this facility the staff nurses treat newcomers like they don�t know anything. There is a rigid adherence to how the nursing body has always done things as opposed to best practice or the companies own current policies. Leadership prefers testaments of long running staff members to discern their best moves. Human Resources for employee relations is not an asset, they strongly side with leadership and are generally unreachable. This network leads to cliques running the unit, as they can report and expect responses to planned cohesive statements whether their singling out of a staff member is warranted, truthful, or not.
- very low hourly pay for the state",2024-08-15T12:15:24.283,Registered Nurse,2,1,2,5,1,1,1,NEGATIVE,NEUTRAL,3.7,3.7,3.8,3.9
Work you to Death,Staff I worked with were great,"Pay, Pay, pay, benefits, and Pay",2024-12-09T08:05:34.210,Registered Nurse,2,0,0,0,0,0,0,,,3.7,3.7,3.8,3.9
Pay,Eh its okay. Good benefits.,Kinda is like a cult.,2024-12-22T18:30:04.797,Registered Nurse,3,3,3,3,3,3,3,POSITIVE,,3.7,3.7,3.8,3.9
No work-life balance,Everyone is generally really nice and willing to help out,Work-life balance is non existent and every where is understaffed,2024-12-03T19:06:49.650,Surgery Scheduler,3,1,3,3,4,4,3,POSITIVE,POSITIVE,3.7,3.7,3.8,3.9
Mid,Working schedule can be Flexible,Culture could use some improvement,2024-12-03T21:51:14.343,PI Specialist,3,0,0,0,0,0,0,,,3.7,3.7,3.8,3.9
review,great staff and good benefits overall,can't express any cons at this moment,2024-11-29T17:35:39.877,Home Health Aid,5,5,5,5,5,5,5,,,3.7,3.7,3.8,3.9
not great,good pay and decent benefits; interesting job and always learning new things in the medical field,the case management department is unfair to social workers and favors RNs. they do the exact same job but RNs make more and SWs need more education. leadership is terrible and they have a hard time keeping case managers for more than a year.,2024-09-30T10:43:54.063,Social Worker/Case Manager,3,3,3,3,2,4,1,NEGATIVE,NEUTRAL,3.7,3.7,3.8,3.9
Lots of work but rewarding,"Job security, satisfaction, creativity, flexibility","Lots of overtime, 40plus hour work weeks",2024-11-19T05:36:01.483,Instructional Designer,3,1,3,4,3,2,3,,,3.7,3.7,3.8,3.9
Hourly pay,"flexible, welcoming, benefits, good coworkers","night shifts, extra training days",2025-01-29T13:05:05.743,PCT Patient Care Tech,4,0,0,0,0,0,0,,,3.7,3.7,3.8,3.9
Recommend,"Opportunities are strong, trauma center, room for growth","May need to commute far, most do",2025-01-27T06:28:57.830,,5,5,5,5,5,5,5,POSITIVE,POSITIVE,3.7,3.7,3.8,3.9
Good place,"Nice staff, excellent surgeons and APPs",Busy place and can get hectic,2025-01-27T06:21:27.707,Nurse Practitioner,5,5,5,5,5,5,5,POSITIVE,POSITIVE,3.7,3.7,3.8,3.9
Decent entry level pay,"decent entry level pay, consistent hours, good benefits",sometimes forced to work at multiple facilities - schedule can be confusing,2025-01-21T07:40:28.050,Patient Access Associate,4,4,4,4,3,4,3,POSITIVE,POSITIVE,3.7,3.7,3.8,3.9
They got too big and don't listen anymore,"Mostly great coworkers. Most people truly want to do the best they can and feel they have a calling to serve. The mission is talked about often. They have some really great managers, that work hard for their employees and others who are about climbing the ladder.","They have gotten too big and have lost sight of their employees. They no longer listen to the true issues. ALL decisions have to go through corporate in Peoria, which means nothing gets done. There is no direct contact with employees anymore. HR is non existent unless you mess up. You never see them and have to go to them. How do you do that when you are overloaded with patients? It used to be a great place to work, but now it's only about $, and if you aren't a nurse or a doctor you don't matter.",2024-08-27T13:09:33.173,,3,1,4,5,3,5,2,NEGATIVE,,3.7,3.7,3.8,3.9
Little company was better ,Coworkers are great became family,They�re unethical and very unprofessional,2025-01-23T14:31:23.030,PSR I,2,0,0,0,0,0,0,,,3.7,3.7,3.8,3.9
Lack of management presence ,Great place to get experience and learn skills,Lack of management presence and short staffed,2025-01-16T11:35:52.123,Registered Nurse,4,0,0,0,0,0,0,,,3.7,3.7,3.8,3.9
Great for Central IL,"Great opportunities for Central IL residents 
Nice benefits and pay
Flexibility","Culture and morale among employees vary department and weekly
Certain leadership can be feeble and passive",2025-01-10T21:49:34.803,Coordinator,4,4,4,4,5,4,4,POSITIVE,POSITIVE,3.7,3.7,3.8,3.9
Totally remote,Flexibility with paid time off,Lack of opportunity for advancement,2025-01-17T13:12:10.470,CDI Specialist,3,0,0,0,0,0,0,,,3.7,3.7,3.8,3.9
Liked working there,Pay is fair for the role,They made thetime off benefits worse.,2025-01-09T17:05:24.357,Program Manager,4,3,3,4,3,3,3,,,3.7,3.7,3.8,3.9
