summary,pros,cons,review_date,job_title,rating_overall,rating_work_life_balance,rating_compensation_and_benefits,rating_career_opportunities,rating_culture_and_values,rating_diversity_and_inclusion,rating_senior_leadership,rating_recommend_to_friend,rating_business_outlook,overall_rating,compensation_and_benefits_rating,culture_and_values_rating,diversity_and_inclusion_rating
joke? scam? real deal?,"nothing fancy about this place but at least for me synergisticit was da best place for tech skills improvement /learning technologies related to java and full stack programming. 
friends and alumni of mine are still struggling to find good jobs and i had 2 offers withing 3 weeks of completion of my tenure with synergisticit. I have 30+ people who i know  who got free training , got paid training and some also paid for training and were either locked down for 2 years with the firm paying them low money and in some cases they learnt nothing and were once again had to struggle for finding a job.
opportunities after being with synergisticit and doing projects multiplied 10 x and i was not restricted in whioch organization i could join and had full freedom

hated doing my projects and understanding things at time --tough love as you might say --after everything done i look back at my time spent here as valuable.

received offers with google and Apple both long term gigs and am happy and satisfied as earlier not even startups looked at my profile.

i read some reviews where someone posted fake and fraud. to anyone considering synergisticit simple acid test is go into their office and ask them to show you people placed in the past 3-6 months . If they cannot show you anything then its fake which i can tell personally is not true and the entity or person posting these bad reviews is either a joke or a scam.

This coming from a person who has first hand experience. If anyone needs any answers ask me and work permitting i will answer them. I bring this up as i wanted to write a positive review and then saw these negative reviews and could not take it sitting down as an alumni.

All in all no other firm came close and this coming from a person who did not just want a job but something which made him recession proof",longer than anticipated took me 4 months as i had to take certifications for java 8 which took me 1.5 months.,2018-05-14T00:39:38.063,Full Stack Mean Stack Software Engineer,5,4,5,5,5,0,5,POSITIVE,POSITIVE,4.1,4.1,4.1,4.3
"There are better alternatives, like anything else","1.) You learn to listen or pretend to listen to the many lectures of management.
2.) You learn to work hard, so that you can get out of there as quickly as possible
3.) You do learn Spring and Hibernate, but then again there is YouTube","1.) No in house internet, oh and no furnishing -> Sleeping bags on the floor + 5 people in an apartment on average
2.) Constant surveillance, be it via tracking ip or via cameras in the office (which is why there is no internet in the apartment) or HR listening in to your conversations
3.) Given a stipend in the form of gift cards, but only for those close to the office as management is too lazy to travel 5 min by car to pick them up from better grocery stores
4.) Management doesn't trust candidates
5) Also training takes 4 to 5 months, so if there are better alternatives please take them.",2015-08-31T00:26:30.900,Java Developer,1,2,2,1,1,0,1,NEGATIVE,NEGATIVE,4.1,4.1,4.1,4.3
synergisticit = java and .net training consulting firm,"decent place to learn java and.net .good big name clients in their network which I did not have access to.
h1 approved this month after rfe done premium. everiifed 
other things same like resume. payments received on time. been with them for 3 years now",hectic training schedule. no remote training. they only take selective people and their training contract is tough and they enforce it through collection agencies if someone does not adhere to the contract,2014-05-20T13:29:30.377,Java Developer,4,4,3,5,4,0,3,POSITIVE,NEUTRAL,4.1,4.1,4.1,4.3
Decent office with good trainers and marketing team,"The training was really good. It is highly sturctured . They have good marketing team and the best of all is that they never missed one payments .
I would say that their training is excellent. I would recommend this place for freshers. It is more that whta you pay for it.",The training would look like like too much. I had to work really hard. Too many interviews lined up. I did not even get time to look into the requirements.,2012-05-01T14:16:07.077,Senior Java Developer,4,4.5,4.5,4,0,0,3.5,POSITIVE,,4.1,4.1,4.1,4.3
Java is what they do best,Very Good java training and good client base for java. Nice facilities with clean guest houses and a simple but efficient lunch room. Lots of coding and practicals and small projects which make you learn and remember what you learned. Interview prepperation is good,Contract is pretty tough and they litigate through attorneys on violation. I know someone in my batch who paid 10 k on violation and 4 k in attorney fees when he tried to walk away from the contract and get a job on his own after taking training,2015-05-20T14:50:00.980,Java Developer,4,4,4,4,4,0,4,POSITIVE,POSITIVE,4.1,4.1,4.1,4.3
Fantastic place to learn and grow,"Synergisticit has very good traniners and marketing team.They provide endless hours of training.
Its hard to find a very good trainer in these days.They would clarify your doubts ""n"" number of times.
The marketing manager is really good at it. We have presentations evey day single day till we get it right and they support you after your project.","Sometimes the training is a little slow. During maketing we are submitted to ""n"" number of client and at one point it gets really hard for us to take so many interviews in one day.",2012-01-11T14:21:21.947,Java Developer,4,4.5,4.5,4,0,0,4,POSITIVE,,4.1,4.1,4.1,4.3
Most consulting companies are liars,"i joined them in 2012 after finishing my MS 
I had interviewed at 20 clients for full time jobs and was rejected even though i had a 3.7 GPA and with a MS in computer science.

 I joined a consulting company in New Jersey cant name it but starts with V and has software in name .gave notes set of questions and a resume and i started having interviews ..interviews which were taken by someone else. 

They told me to go to a small client and i worked there for 3 weeks  and was fired as i had no training which i was promised.

Joined another consulting co. in atlanta georgia same problem very poor training and nothing just notes and small orientation for 3 -5 days and some weekend classes . placed once more at another client and someone took interview for me and once again i was fired by client in 10 days.

I was very demotivated and planning to go back to India. i was recommended synergistic by my cousin who stays in bay area stating that she took training from them. on her recommendation i joined them and to my surprise their training was 1000 times better than any training which i took.
i cleared my own client interview and it took me 4 interviews to get a job and they took personal interest in me and my life and my future which was a welcome change. 

I felt confident when i joined the client . A client in LA rhymes with jamgem one of big healthcare clients i worked there for 3 years they did my h1b after 6 months i got an rfe and they had their attorney fight it and got it answered an my h1b was approved. I worked with them for 2 years on h1b and now i am at a entertainment giant in LA which employs ducks and mouse and has theme parks. 


I referred 5 of my friends to them all of them now working at fortune 200 clients .  i have had many people lie to them and cheat them i have never seen them do the same to anyone
Long story short i was foolish when i was young and got influenced by my classmates and other consulting companies and wasted 4 months of my life if i would have joined synergistic before i could have been on project earlier . I do thank my cousin and synergisticit people for making me what i am today. most consulting people lie to get you in sign a contract its only some who arestand by their word . I was given same course content by all only synergisticit actually taught me what was mentioned in course content practically

They are honest people and dont lie like other consulting companies. I know for a fact that there are so many consulting companies which provide training taking nothing but only synergisticit takes docs and deposits and even then people join them. if you are taken by them you are guaranteed a project i am proof of that.",training goes for almost 8-10 weeks at the same time i dont blame them as java is too extensive and we did projects which helped me clear interviews and survive on projects.,2015-09-03T22:34:20.860,Senior Java Programmer,5,4,4,5,5,0,5,POSITIVE,POSITIVE,4.1,4.1,4.1,4.3
Do not trust the fake reviews,None.Absolutely none. You will have  a better future finding a job on your own.,Most of the reviews (barring 4 or 5) have been written by the same person. They are all fake. The manager of this group is as despicable as  a person can be. He is so full of himself and thinks he is doing you a favor when in fact  all he is doing is exploiting you. The trainers are OK. But its not something you can't learn on your own if you don't put in a little bit of effort.,2018-04-01T15:45:59.100,,1,1,1,1,1,0,1,NEGATIVE,NEGATIVE,4.1,4.1,4.1,4.3
transparent as glass,"have worked with them for 3.6 years now and they have stood by me in thick and thin when i was almost out of status they helped me remain in status. they expect you to remain with them for 1 year after you get your h1b approval . i have know my own batch people who have used and manipulated them till date i have not seen them doing anything harmful to anyone. after people manipulating them they bought changes to their contracts . Training is good and marketing was excelent when i took training. They have best intentions for their employees .

i read lots of recent bad reviews and i doubt their authenticity and question the people writing the reviews if they ever had experience with any other consulting firm and if they are aware how other consulting companies operate. i read them being greedy and going for higher rates ...i highly doubt it as i know their priority is more towards longer projects and i have seen people being sent to longer projects even though when getting lower rates. my upbringing taught me to be thankful to people who help you and never forget them and for synergistic people did that.
i dont know if they write their own reviews but most of which is written in positive reviews is true and i can attest to it..whatever i read in negative reviews seems to be borne out of frustration, sarcasm and vengeance rather honest review and feedback..i wonder the psych of people writing those reviews and how successful they have been as they dont seem to be very people friendly and one thing i learnt during my experience is your interpersonal skills, being emphatic, friendly and having a good personality helps you more than your coding skills and believe me on that 

 i know other consulting firms stuffing 9 people in a 2 bedroom apartment, proxy interviews and printout of questions given in the form of training. reason i can say this is because i myself was subjected to such consulting firms before i joined synergisticit and at least they treat you like human beings. i being more experienced now know that they earned money from me in first year at the same time they spent a lot of money on me too. after first year they put me on percentage and i made more money than my colleagues in full time positions and i am putting this rview down as i intend to move on to a real big company which i always wanted to join which is headquartered in mounatin view and i want to say path was not easy but journey was enjoyable",contract which they have is strict and i came to know now they made more changes to enforce compliance if someone tries to leave before 1 year of getting placed or leaving after training. i came to know as someone who was in the batch after me contacted me as someone contact him about getting out of the contract and leaving in middle and had been sent court notice by their employment attorney and he had to travel from nj to california for court appearance and had to finally pay the contract violation and attorney fee which were like 30k which he was paying in installments otherwise his immigration situation would have been in trouble due to a civil and court proceedings showing up on his background check and his immigration documents. my advice is to just do a 1 year employment and then move on if you want to explore greener pastures to be on safe side as work is stressful and then court hearings are even worse. traing may be tough for electric or other backgrounds so join if you have coding background otherwise you will be in training for 4-5 months,2015-10-19T10:44:31.873,Java Developer,4,4,4,5,5,0,4,POSITIVE,POSITIVE,4.1,4.1,4.1,4.3
Great place to start your career,"- As long as you work hard, you will be able to grow your software developer skillset here, expanding upon your career options and to find many opportunities that are available, especially now that Covid is starting to subside companies will hire more
- The trainers will help you and are very helpful and responsive, being thorough in what they teach
- Teaches you skills that are highly relevant in the current IT industry
- Was able to receive multiple offers from companies in the span of 2-3 weeks","- depending on your level of experience, it can take some time to get you ready for the market
- webex tool is primarily used for trainer to candidate communication though its stability can vary from time to time",2021-04-07T08:29:34.853,Java Full Stack Developer,5,4,0,5,5,5,5,POSITIVE,POSITIVE,4.1,4.1,4.1,4.3
Great place to work and learn new Technologies,Great place to start your new career; learn a lot of new technologies; they train you very well both front end and backend;,Nothing I have to say,2022-09-08T01:18:21.150,Full Stack Java Developer,5,5,5,5,5,5,5,POSITIVE,,4.1,4.1,4.1,4.3
Good,You get to work in various industries.,There are no cons that I can think of.,2022-10-24T18:08:22.367,Data Scientist,5,0,0,0,0,0,0,,,4.1,4.1,4.1,4.3
Great place to learn if you like to learn,"Great Place to learn
Lots of variety in work
Get out what you put in","Very intense
Need to be dedicated
Hard to catch up if you slack similar to school",2022-08-30T15:16:39.560,Data Scientist,5,0,2,5,0,0,0,POSITIVE,POSITIVE,4.1,4.1,4.1,4.3
Very thorough in approach,"very thorough in their approach to what i learnt at Synergistic. Had hands on experience to tech which i would not have been able to get elsewhere.
value which i gained by being here was comparable to something which will take me 3-4 times longer to achieve elsewhere. I could leverage the experience at synergisticit to move onto a another client based on the projects done here. 
it may be intense at times for some people but the achievements after everything when the dust settles around you , the sweat and the grime pays off.  I had calls from revature, was considering hackreactor/Galvanize but these people had the best word of mouth from people i had spoken to. The best thing was that i could work remotely if i wanted to and could come onsite if i wanted to which helped a lot.
$95 Grand  was my offer after finishing with Synergisticit and that is wonderful for a guy who companies did not even consider emailing back before joining synergisticit guys.
the people and programmers/trainers who you work with are excellent with deep knowledge . some might have some strong accents but not something which you wont be able to understand.",some strong but understandable accents but all of it really helped me learn many things once i got comfortable as their experience trumped the accent,2020-04-17T20:55:23.853,Full Stack Programmer,5,3,5,5,5,0,5,POSITIVE,POSITIVE,4.1,4.1,4.1,4.3
Good,"Everything is good, Great work environment, Zero work pressure and Good culture.",Nothing is bad all these things is manage properly.,2022-06-09T23:38:47.057,SEO Executive,5,0,0,0,0,0,0,POSITIVE,POSITIVE,4.1,4.1,4.1,4.3
great place to work,"good work culture,flexible work hours",not much to say about improvements,2022-06-24T15:58:47.947,Data Scientist,5,5,5,5,5,5,5,POSITIVE,POSITIVE,4.1,4.1,4.1,4.3
Amazing staffing organisation,"I am really happy that I was a part of Synergisticit as a consultant. The training was really good. I used to attend 5 hours of training in a day and after that we used to work together till 5 in the evening on our assignments. The batches were small and all of the batchmates were very focused so it was esy for us to get a project. 
The marketing team also did a good job. We get calls till we join the client site.
Great guest house. Everything was taken care off.","1)The technical screening is very hard. So its not even easy to get into their training. 
2) The training is not easy - 5 hours of training and after that we have to put in 4 hours.
3)Marketing is super fast. All you do in a day is to talk with clients and vendors.",2012-04-04T15:28:55.680,Java Developer,4,4,4,4,0,0,3.5,POSITIVE,,4.1,4.1,4.1,4.3
for java mean stack  training no one comes close to them,"Detailed coding based approach to training
Indepth assignments interview prep / projects
You dont realize it yet become strong technicall by the end of the program
Not time constrained like bootcamps
shared risk approach to fees
quality of training better than any in west coast to say the least 
great marketing push which not available at bootcamps
java NoSQL mean stack training better than anywhere. What I learnt here it would take me 3 boot camps to learn same amount of stuff
quick job placement after training (which was a big concern for me) as they did not give any job guarantee yet I had 2 jobs in 3 weeks of being in job market
you keep your salary nothing to share with them only their training fee and no extensive contract other than ensuring you pay their fees","small office
sometimes unsure when doing training if we are doing right thing and whether we will get a job
high upfront cost yet I fell justified",2018-05-17T17:45:24.527,,5,3,5,5,5,0,5,POSITIVE,POSITIVE,4.1,4.1,4.1,4.3
Great School for java,"Synergisticit is known for its java placement. It is really very hard to get into the training batch. They screen you in and out before they take you. Once you are in the training there is no looking back. I had to put in like 4-6 hours of extra work and they go me a project exactly in the 10th week as promised.Their interview preparation classes are really great. Absolutely fantastic marketing team with good client base, batches are small, one on one with the trainers towards the end, Good collection of books for java.","Sometimes I feel the training is a little slow, but they spend extra hours on the weekend.
As others said i got way to many calls in the second week of my marketing which I personally could not handle.",2012-02-07T15:12:53.123,Senior Java Developer,4,3.5,4,3.5,0,0,4,,,4.1,4.1,4.1,4.3
organized chaos leads to a brighter career,"Good coverage of different technologies. i heard good things about them and experienced it myself. people previously who were unable to find jobs in startups after getting experience with synergisticit got offers from apple, paypal, intel .

good place for people with basic understanding of programming in java or any other language and people with experience. If you dont know any programming dont join as you will have a hard time as there is projects which you have to do etc and a solid foundation is needed in basic programming.

 if you have a good foundation are a good student i assure you they will make you succeed. I have seen average pay rates after working with them something in the range of 75k to as high as 130k i guess that also depends if you had previous experience how well you present yourself and stuff.

 They work with you and the manger is also supportive and would tell you things good for you but you might not like them. If you are rude you will be called out, dont come to office same. You can do projects remotely also as long as you do are regular and dont miss days.

I am pleased to say that i was able to get couple of offers within 3 week of finishing my projects with them and they putting me into the market. I after 5 months know almost 3 times more than my peers before i joined synergisticit what they told me that what you learn here in 5 months people take 4-5 years to learn is almost true to a certain extent. 

I am witness to one person who used to drive uber to supplement his income and after working with synergisticit he is working for paypal now and getting 100+k. To anyone thinking about coming over to them just have confidence work hard and stay positive and be regular and i promise you that very soon you will be working at a great client and will have multiple offers rather than just one. 
I am living proof for the above. Anyone needs any answers message me here and i will try to answer. It took me 4 months to write this review and it was long due and i guess i owed them this. 

Was giving 4 stars but decided for 5 stars as even though they are not structured the end result is what counts and that was me getting more stronger technically and me in being demand by multiple clients. I wish good luck to everyone.. god bless",there is no planned structure only in the end all the pieces come together. Duration is pretty long as much as 4-5 months but i feel the topics covered are so many that it makes sense that it takes that much time. Good for people with basic knowledge and experienced people with no US experience . People who dont know coding will have tough time and will have to work long hours to compete,2018-09-14T12:55:19.843,Java Backend Programmer,5,3,4,5,5,0,4,POSITIVE,POSITIVE,4.1,4.1,4.1,4.3
