summary,pros,cons,review_date,job_title,rating_overall,rating_work_life_balance,rating_compensation_and_benefits,rating_career_opportunities,rating_culture_and_values,rating_diversity_and_inclusion,rating_senior_leadership,rating_recommend_to_friend,rating_business_outlook,overall_rating,compensation_and_benefits_rating,culture_and_values_rating,diversity_and_inclusion_rating
"Get your foot in the door, then get out.","From a software engineer's perspective this is an excellent place to 'validate' your career and get started fresh out of college or if you're newly transitioning in to the field.

Other notable qualities include:
- Very clean office space located immediately off of the freeway

- Most people you'll run in to are friendly and collaborative

- Health, Medical, 401k, etc.

- Personal development scenarios such as taking classes or getting certifications are compensated

- Managers are aware the company pays below industry standards so they've made their interview processes much easier for technical roles.","Some of which include:
- No remote capabilities, you'll drive in to the office and join a teams call for 9/10 of your meetings.

- Your performance is irrelevant and there's little to no incentive to work hard. Your best chance at earning a promotion is by negotiating an offer letter from a new company or going to a new company after 6-12 months.

- From a software engineering standpoint the work will feel challenging, but not rewarding. The company utilizes older versions of enterprise software that will give you very little transferable knowledge. You will need to block out time for yourself and build upon your own personal development if you want individual growth.

- Severe lack of faith in senior management is widespread especially within technical positions.

- Company pays far below the standard for many of their positions, and in doing so the talent pool is smaller and turnover is much higher.

- Minimal flexibility in your role and in most cases you will be taking an endless stream of tickets

- Cross-team collaboration is laughably poor.",2022-09-20T21:37:32.423,Software Engineer,2,1,2,1,1,3,1,NEGATIVE,NEGATIVE,3.4,3.2,3.3,3.7
not a place review,there is nothing to do there,you don't learn anything new,2024-04-04T18:47:33.137,Security Compliance Analyst,1,3,1,1,2,1,1,NEGATIVE,POSITIVE,3.4,3.2,3.3,3.7
"Great People, Enjoyable Work, No WFH","I work with some amazing people and truly enjoy the work I do every day. It is challenging, but interesting and I enjoy solving the problems we face.","My job could be 100% remote, but we do not have that option. Additionally, I am underpaid relative to the amount of work I do and expertise I provide.",2023-10-26T15:58:13.737,Assistant Vice President,4,3,2,4,3,5,2,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
An unhealthy mix of toxicity and mediocrity,"With low expectations, it's easy to stand out and get promoted. The business is growing and profitable, so there is good job stability. The people are great to work with at the mid-lower levels. It's a good place to start a career and then get out.","I can almost guarantee you won't find a culture worse than Credit One. Very little flexibility, toxic meetings and interactions with senior management, below average pay, no stock packages, outdated benefits, poorly trained managers, politics are crazy and drive most decisions, dinosaur tech, inflated egos running rampant, and most employees that I interacted with are miserable and just biding their time until something better comes along.",2023-03-08T12:34:15.307,,2,4,3,4,1,2,1,NEGATIVE,POSITIVE,3.4,3.2,3.3,3.7
Good Company,Good to learn about finance and early careers,In-person office. No remote or hybrid work culture.,2024-02-05T21:31:56.097,Data Engineer,3,2,2,3,4,4,3,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
Good to work,Good place to work and have more experience,No work from home job,2024-02-06T15:06:29.757,Network Engineer II,4,3,3,3,3,3,3,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
Awesome organization to work with,"Excellent learning opportunities
Excellent employee benefits","Mainly one location option to work from with very limited options for remote work, but the location is one of the best locations in USA.",2024-05-28T12:52:10.600,,5,5,5,5,5,5,5,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
Micromanagement,Good name recognition on resume. That�s all,"Low career advancement. 
Toxic managers who think of employees as tools to get work done for their own KPIs.",2024-05-17T21:40:37.710,Employee,2,3,3,2,3,4,2,NEGATIVE,POSITIVE,3.4,3.2,3.3,3.7
great benefits,"awesome atmosphere, beautiful place to work, fantastic benefits.","The salaries, and bonuses in the lower levels should be higher",2024-06-11T06:13:52.047,Associate 1,4,4,3,4,5,5,4,POSITIVE,,3.4,3.2,3.3,3.7
Your voice matters,You can elicit actual change. Your hands are in the actual motion of the business,A lot of high talent,2024-05-29T14:08:44.550,Vendor Relationship Manager,5,0,0,0,0,0,0,,,3.4,3.2,3.3,3.7
Fine First Job,"Chill workplace, good work life balance, and semi frequent company events with free food.","Not a lot of holidays, data issues constantly, broken toilets/urinals often, weird in office vibes, treat contractors and temp workers poorly, and no working from home.",2024-03-10T14:54:54.077,Risk Analyst,3,5,4,1,3,4,3,NEGATIVE,POSITIVE,3.4,3.2,3.3,3.7
CEO and HR need to step up their game,-good work from life balance -coworkers are generally friendly -the executive car lot,"- low bonuses for non executives/upper management (the executive car section is nice though. Aston Martins, Porsches, lambo urus, retro cars, etc) -no work from home or hybrid -turnover is high so you�ll have to explain the same things over and over.",2023-02-15T10:52:35.557,Business Analyst,2,0,0,0,0,0,0,,,3.4,3.2,3.3,3.7
A nightmare position,They keep the office satisfactory cold temperature,"Abusive management, fear culture, discriminatory firing practices, lack of willingness to hire from within, toxic environment with senior management implementing old school business professional standards.",2024-05-13T17:30:31.317,Brand Manager,1,2,1,1,1,2,1,NEGATIVE,NEUTRAL,3.4,3.2,3.3,3.7
Awesome employer!!!,"There are so many pros for working at Credit One Bank. There is breakfast/snacks free for the employees every single morning. The benefits are amazing and available almost immediately after you start. The bosses that I have are amazing. 

This is the one and only job that I have ever loved so much and enjoy going to work everyday. I see my colleagues smiling and always happy and have never really seen an unhappy co-worker. 

#1 place for me to work.",The only con I have is the 5 minute walk to my car. Huge parking lot and can�t park in the reserved parking spots. I look at it as getting my steps in daily. Other than that I have no other cons.,2023-11-18T05:44:39.013,Paralegal III,5,5,5,5,5,5,5,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
Great place to work,Great place to work for,everything is great so far,2024-05-01T16:05:28.663,Financial Analyst,5,5,5,5,5,5,5,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
"Clique, low paying, leadership expectations","Free snacks, holidays (some not all) are paid and off work","Low pay for the expectations, you are expected to stay longer than expected to �complete� work, lots of mindless meetings that serve no purpose, �provide� for your advancement however they won�t compensate you a fair market value unless you come from the outside, employees are not treated fairly for the same role",2024-02-02T15:22:10.993,Operations Supervisor,2,3,1,2,2,2,1,NEGATIVE,NEGATIVE,3.4,3.2,3.3,3.7
Steady/Boring - The epitome of a mediocre workplace,"Stable job with ok base pay and pretty good benefits. If you are moderately capable, you'll have a job here forever. That's worth a lot.","It's a boring, single product-line bank (credit cards). Never going to be anything splashy or spectacular, never going to be an exciting place to work or on the forefront of industry innovation.

Managerial incompetence is largely tolerated, as to avoid difficult conversations, especially at senior levels.

Mediocre performers get the same pay as top performers. Leadership is concerned with not paying anyone too much, other than the CEO, rather than paying top performers for what they bring to the table. The company has fantastic financial performance every year, but doesn't share that equitably with employees.

Too few holidays, no hybrid flexibility (full-time in office).

None of the above will change anytime soon.",2023-12-19T15:56:35.350,Human Resources,2,3,2,2,2,3,2,NEGATIVE,POSITIVE,3.4,3.2,3.3,3.7
Great place to work,"good benefits
competitive salary
pushed me to develop my skills",some ppl a ruthless and cutthroat,2024-08-02T16:21:49.893,Senior Manager,4,4,5,4,4,4,4,,,3.4,3.2,3.3,3.7
Good work-life balance,Depending on the team you land on the work life balance is really good. Pay is not too bad although it could be better. Going through some technological revamping that should bring the companies way of doing things a bit more up to date.,They start some people at lower levels than they should start and some at higher levels than they should start so it is a bit of a crap shoot getting into the right starting position. Having a lot of education and data skills certainly helps.,2024-03-14T01:06:05.653,Data Analyst II,4,5,3,3,3,4,3,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
Good starter job,"- community opportunities
- hockey game suite
- work was manageable","- corporate environment
- not remote or hybrid friendly",2024-07-24T02:51:10.547,Developer II,4,4,3,4,3,3,3,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
Prepare for a Masterclass on how to demoralize employees.,There are zero reasons to work at Credit One Bank unless you are absolutely desperate for a job.,"Terrible leadership (stand down) that engages in mental gymnastics to explain away horrendous employee satisfaction scores (stand down). How do I know this? Nearly 30 people either quit or moved to other departments since the beginning of 2022 to avoid working with the leaders overseeing our department. 

The bank engages in predatory practices that take advantage of an already disadvantaged group of people looking for credit. 

My advice? Stand down and run...run as far away from this place as you possibly can. Leadership makes too much money to care about their employees well-being or happiness while they work in the prison they call an office building.",2024-01-16T16:20:25.333,Manager,1,1,3,1,1,3,1,NEGATIVE,NEGATIVE,3.4,3.2,3.3,3.7
Overall Good Experience,Some amazing people work there.,"Depending on your LOB, there can be silos and challenges with communication.",2024-07-16T12:16:03.737,Assistant Vice President,4,3,4,4,3,3,3,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
Salary,"Less volatile, stable company and",Not flexible and salary not good,2024-07-16T18:59:07.930,Sr Risk Analyst,3,3,3,4,3,3,3,,,3.4,3.2,3.3,3.7
Great Place to Work,"Great pay and bonus structure, great benefits, and employee environment.",Don't really have any it was a great place full of great people..,2024-05-30T16:33:23.523,Collection Representative,5,5,5,5,5,5,5,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
OK but not great,"Pretty easy work and secure position. The bank rarely fires people, even bad employees so there is not much desire for anyone to push themselves.",Technology is outdated and many managers have little knowledge of modern methods or technologies.,2024-05-22T15:28:27.917,AVP-Analyst,3,3,3,3,3,3,2,NEGATIVE,NEGATIVE,3.4,3.2,3.3,3.7
Difficult,"- People there are amazing to work with.
- Opportunity to work with the company's sponsorships.","- Management is very traditional and rigid.
- Lack of innovation",2024-05-30T22:42:43.407,Social Media Manager,2,3,3,2,2,2,1,NEGATIVE,NEGATIVE,3.4,3.2,3.3,3.7
Experience depends on your team,"Good benefits, nice office, good pay for starting position","Extremely siloed work, lack of adequate training that leads to months of self-teaching to begin being productive",2024-10-28T13:20:37.177,Data Analyst I,3,0,0,0,0,0,0,,,3.4,3.2,3.3,3.7
Great company and Great People,"Credit One Bank has transformed the banking and employee relationship with its employees. Credit One has developed and achieved a way of retaining top talent, promoting positive working environments, and investing in its employees.",More Holidays and/or increase the number of vacation days an employee receives.,2024-09-16T11:21:09.663,Manager,5,5,4,5,5,5,5,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
Good but has scope of improvement,"1. Great company to kickstart your career.
2. Gives opportunities to people from all kind of career background.
3. Not much work pressure and easily manageable. 
4. 3 weeks of vacation holidays and 2 weeks of Sick leave.","1. Leaderships do not encourage to explore cutting edge technology, mostly because financial industry is highly regulated.
2. No work from home option.
3. Salary is lesser than other financial banks.
4. Vacation hours and sick leave needs to be accrued. 
5.  Other than the paid leaves, there is very limited holidays given to the employees. Most of the federal holidays are not celebrated. No holiday in the Dec other than 25th Dec and 1st Jan. Thanksgiving holiday is just one day. For god's sake please give 2 days for Thanksgiving.",2024-02-20T10:40:40.507,Risk Modeling Analyst,4,4,3,4,4,5,2,POSITIVE,NEUTRAL,3.4,3.2,3.3,3.7
A mental health nightmare,Free snacks Company events Dress code is business casual,Culture Support from Leadership Training,2023-08-25T23:34:17.600,Financial Crimes Specialist,2,2,4,3,3,3,2,NEGATIVE,NEGATIVE,3.4,3.2,3.3,3.7
Soul Crushing Office Job.,There are no pros at this place.,low pay to work in a soul crushing office with inconsiderate people that will annoy you and get you and your family sick. There is virtually no investment in official training courses outside of a udemy account. GL. Low pay and they expect you to continue working at home to learn on your own. No work life balance. Just work because you are a sub human cog in the corporate machine. Tens of billions of dollars in profit aren't enough for this bank. 99% uptime isn't enough for this bank. Unfathomable corporate greed and unrealistic expectations is all you will see here. Forget about any remote work opportunities as well. They want to control every facet of your life.,2024-06-03T12:36:33.680,Security Engineer,1,1,1,1,1,1,1,NEGATIVE,NEGATIVE,3.4,3.2,3.3,3.7
Great Company,Amazing atmosphere and team culture.,Mostly self trained. Not tons of good on the job training.,2024-10-06T13:41:25.933,Financial Analyst,5,5,5,5,5,5,5,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
"Good experience for some, but beware","-Diverse workplace
-Surrounded by many knowledgeable, fun people","-Some managers are very condescending and disrespectful
-Lacking in initial training",2024-03-15T22:26:04.507,Credit Risk Analyst,3,3,3,3,2,5,4,NEGATIVE,NEUTRAL,3.4,3.2,3.3,3.7
Great Company Culture,The company culture is great and I really enjoy working with team. I think there is a lot of potential to network since most everyone knows/is familiar with each other. Amazing work life balance,"Compared to employment competitors, compensation/benefits generally aren't as competitive until reaching senior positions",2024-08-26T16:23:22.847,Risk Analyst,5,5,4,4,5,5,4,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
Review,"Nice office, has cafeteria with drinks and snacks in the morning. Everyone is really nice, and willing to help.","A lot of the file's they have are like 10+yrs old, and no hybrid or remote work allowed at least for our department.",2024-08-08T10:50:32.787,Financial Analyst,3,5,0,0,0,0,0,,,3.4,3.2,3.3,3.7
Credit One Bank... the greatest bank,Management is willing to help at any given moment. You will always have guidance.,I have only been here for one year and am unable to answer this question at this moment.,2024-07-17T13:04:24.993,Collections Representative,5,5,5,5,5,5,5,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
